  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   309,    1.0313,    7.0174,    0.7511,    0.6824,    1.1222,    0.0642,    0.7580,    2.7754,    0.6922,    3.6730,    0.5286,   19.1677
   310,    1.1074,    6.9716,    0.7439,    0.5455,    1.2006,    0.0594,    0.7176,    2.8456,    0.6905,    3.8248,    0.4031,   19.2158
   311,    1.0352,    7.0323,    0.7554,    0.6636,    1.1220,    0.0642,    0.7617,    2.8044,    0.7022,    3.6499,    0.5075,   19.1704
   312,    1.1131,    6.9996,    0.7493,    0.5968,    1.1181,    0.0593,    0.7177,    2.8576,    0.6971,    3.8462,    0.2929,   19.1522
   313,    1.0329,    7.0441,    0.7549,    0.6576,    1.1224,    0.0642,    0.7581,    2.8073,    0.7008,    3.6633,    0.4917,   19.1694
   314,    1.1102,    6.9488,    0.7458,    0.5668,    1.2066,    0.0594,    0.7179,    2.8599,    0.6940,    3.8768,    0.3032,   19.1969
   315,    1.0439,    7.1399,    0.7408,    0.5675,    1.1216,    0.0642,    0.7619,    2.8114,    0.7048,    3.6653,    0.4769,   19.1707
   316,    1.1185,    7.0884,    0.7294,    0.5337,    1.1115,    0.0593,    0.7176,    2.8666,    0.6921,    3.8407,    0.3609,   19.2203
   317,    1.0398,    7.1356,    0.7387,    0.5900,    1.1216,    0.0642,    0.7701,    2.7985,    0.7006,    3.6410,    0.5002,   19.1724
   318,    1.1371,    7.0213,    0.7409,    0.4329,    1.2574,    0.0593,    0.7128,    2.8601,    0.6927,    3.8414,    0.3577,   19.2170
   319,    1.0341,    7.0890,    0.7472,    0.6305,    1.0987,    0.0646,    0.7731,    2.8097,    0.6955,    3.6454,    0.5095,   19.1691
   320,    1.0598,    7.0369,    0.7606,    0.5525,    1.0707,    0.0586,    0.7407,    2.8391,    0.6742,    3.6391,    0.6821,   19.1870
   321,    1.0354,    7.1165,    0.7663,    0.4820,    1.0905,    0.0604,    0.7506,    2.8070,    0.6753,    3.6104,    0.6859,   19.1542
   322,    1.0432,    7.1548,    0.7400,    0.4107,    1.1946,    0.0586,    0.7416,    2.7788,    0.6757,    3.6467,    0.6596,   19.1765
   323,    1.0403,    7.1317,    0.7635,    0.4654,    1.1346,    0.0604,    0.7862,    2.7432,    0.6792,    3.5942,    0.6990,   19.1715
   324,    1.0440,    7.1191,    0.7491,    0.4776,    1.2338,    0.0596,    0.7040,    2.7420,    0.6786,    3.7810,    0.5076,   19.1694
   325,    1.0370,    7.0613,    0.7715,    0.5283,    1.1807,    0.0603,    0.7580,    2.7381,    0.6795,    3.7402,    0.5432,   19.1715
   326,    1.0410,    7.1008,    0.7555,    0.5319,    1.1461,    0.0586,    0.7145,    2.8558,    0.6875,    3.7297,    0.4820,   19.1754
   327,    1.0411,    7.0798,    0.7694,    0.5529,    1.1359,    0.0603,    0.7267,    2.8376,    0.6885,    3.6856,    0.5060,   19.1573
   328,    1.0429,    7.0761,    0.7573,    0.5680,    1.1389,    0.0586,    0.7114,    2.8603,    0.6888,    3.7462,    0.4571,   19.1777
   329,    1.0655,    7.0294,    0.7717,    0.5781,    1.1536,    0.0603,    0.7257,    2.8274,    0.6929,    3.6841,    0.5094,   19.1715
   330,    1.0373,    7.0748,    0.7554,    0.5567,    1.1651,    0.0585,    0.7140,    2.8685,    0.6885,    3.7442,    0.4334,   19.1691
   331,    1.0384,    7.0732,    0.7738,    0.5624,    1.1526,    0.0603,    0.7249,    2.8621,    0.6907,    3.6897,    0.4712,   19.1733
   332,    1.0347,    7.0567,    0.7526,    0.5403,    1.2065,    0.0588,    0.7161,    2.8873,    0.6831,    3.7507,    0.4103,   19.1695
   333,    1.0360,    7.0353,    0.7742,    0.5475,    1.2145,    0.0603,    0.7232,    2.8611,    0.6882,    3.6923,    0.4664,   19.1725
   334,    1.0337,    7.0398,    0.7489,    0.5482,    1.2292,    0.0585,    0.7112,    2.8859,    0.6773,    3.7460,    0.4187,   19.1696
   335,    1.0379,    7.1438,    0.7657,    0.4449,    1.2141,    0.0603,    0.7229,    2.8697,    0.6878,    3.7035,    0.4466,   19.1705
   336,    1.1283,    7.0859,    0.7390,    0.3919,    1.2361,    0.0586,    0.7103,    2.8969,    0.6795,    4.0273,    0.1713,   19.2268
   337,    1.0349,    7.1343,    0.7492,    0.4533,    1.2420,    0.0585,    0.7061,    2.8852,    0.6826,    3.7029,    0.4472,   19.1687
   338,    1.1295,    7.0249,    0.7406,    0.4502,    1.2429,    0.0591,    0.7193,    2.8744,    0.6646,    4.0667,    0.1462,   19.2209
   339,    1.0335,    7.0698,    0.7608,    0.5210,    1.2048,    0.0585,    0.7210,    2.8822,    0.6874,    3.7026,    0.4528,   19.1670
   340,    1.1185,    6.9443,    0.7401,    0.5776,    1.0586,    0.0586,    0.8257,    2.7583,    0.6734,    3.9916,    0.3666,   19.2185
   341,    1.0313,    7.1082,    0.7542,    0.5163,    1.0713,    0.0585,    0.8294,    2.7326,    0.6705,    3.6915,    0.6275,   19.1634
   342,    1.1275,    7.0768,    0.7396,    0.4364,    1.0938,    0.0595,    0.8438,    2.7106,    0.6779,    4.0553,    0.2878,   19.2111
   343,    1.0372,    7.1280,    0.7443,    0.5124,    1.0744,    0.0587,    0.8437,    2.7305,    0.6719,    3.6838,    0.6179,   19.1745
   344,    1.1176,    7.0196,    0.7432,    0.4964,    1.0974,    0.0586,    0.8199,    2.7461,    0.6786,    4.0541,    0.2869,   19.2218
   345,    1.0381,    7.1041,    0.7515,    0.5226,    1.0914,    0.0586,    0.8119,    2.7589,    0.6791,    3.6884,    0.5968,   19.1733
   346,    1.1313,    7.0171,    0.7404,    0.5344,    1.0821,    0.0587,    0.7394,    2.8649,    0.6844,    3.9783,    0.2899,   19.2240
   347,    1.0368,    7.0675,    0.7581,    0.5922,    1.0712,    0.0586,    0.7439,    2.8726,    0.6895,    3.6180,    0.5873,   19.1684
   348,    1.1222,    7.0087,    0.7403,    0.5535,    1.0823,    0.0586,    0.7422,    2.8721,    0.6852,    4.0265,    0.2282,   19.2236
   349,    1.0374,    7.0464,    0.7493,    0.6227,    1.0716,    0.0586,    0.7601,    2.8625,    0.6822,    3.6949,    0.5091,   19.1665
   350,    1.1191,    7.0048,    0.7421,    0.5578,    1.0859,    0.0589,    0.7528,    2.8822,    0.6831,    4.0326,    0.1959,   19.2193
   351,    1.0350,    7.0393,    0.7592,    0.6218,    1.0709,    0.0586,    0.7581,    2.8894,    0.6859,    3.6787,    0.4893,   19.1583
   352,    1.0755,    6.9637,    0.7696,    0.5655,    1.1642,    0.0586,    0.7258,    2.8977,    0.6978,    3.8107,    0.3571,   19.1928
   353,    1.0393,    6.9516,    0.7544,    0.6566,    1.1376,    0.0585,    0.7536,    2.8895,    0.6821,    3.6159,    0.5533,   19.1644
   354,    1.0641,    6.9116,    0.7633,    0.6299,    1.1429,    0.0585,    0.7541,    2.8940,    0.6988,    3.8109,    0.3516,   19.1861
   355,    1.0350,    7.1355,    0.7414,    0.4906,    1.1181,    0.0586,    0.7779,    2.8897,    0.6774,    3.6194,    0.5498,   19.1655
   356,    1.0624,    7.1382,    0.7584,    0.3887,    1.1345,    0.0587,    0.7911,    2.8882,    0.6997,    3.8024,    0.3597,   19.1871
   357,    1.0268,    7.1306,    0.7422,    0.4798,    1.1105,    0.0586,    0.8038,    2.8944,    0.6769,    3.6048,    0.5602,   19.1602
   358,    1.0609,    7.0832,    0.7612,    0.4593,    1.1095,    0.0586,    0.8070,    2.8835,    0.6964,    3.7978,    0.3639,   19.1866
   359,    1.0383,    7.0532,    0.7504,    0.5501,    1.0839,    0.0585,    0.8157,    2.8901,    0.6749,    3.6118,    0.5582,   19.1568
   360,    1.0672,    6.9959,    0.7695,    0.5282,    1.1274,    0.0586,    0.6890,    2.8374,    0.6872,    3.7755,    0.5497,   19.1920
   361,    1.0310,    7.1046,    0.7450,    0.5084,    1.0923,    0.0586,    0.7426,    2.8174,    0.6658,    3.5952,    0.7289,   19.1616
   362,    1.0716,    7.1304,    0.7581,    0.4051,    1.1595,    0.0585,    0.7052,    2.7977,    0.6906,    3.8064,    0.5028,   19.1900
   363,    1.0288,    7.1196,    0.7433,    0.5115,    1.1283,    0.0586,    0.7096,    2.8146,    0.6714,    3.6001,    0.7031,   19.1613
   364,    1.0667,    7.0665,    0.7647,    0.4792,    1.0958,    0.0586,    0.7306,    2.8354,    0.6936,    3.8364,    0.4576,   19.1909
   365,    1.0304,    7.0579,    0.7461,    0.5747,    1.0876,    0.0586,    0.7060,    2.8667,    0.6728,    3.6649,    0.6095,   19.1481
   366,    1.0641,    7.0761,    0.7639,    0.4601,    1.1324,    0.0585,    0.7026,    2.9068,    0.6981,    3.8010,    0.4198,   19.1886
   367,    1.0267,    7.0662,    0.7478,    0.5650,    1.1044,    0.0586,    0.7331,    2.8906,    0.6730,    3.6064,    0.6156,   19.1591
   368,    1.1981,    6.9378,    0.7805,    0.4534,    1.1422,    0.0629,    0.7253,    2.8808,    0.6918,    3.8069,    0.4111,   19.2003
   369,    1.0332,    7.0468,    0.7338,    0.5828,    1.1157,    0.0585,    0.7276,    2.9077,    0.6814,    3.6435,    0.5609,   19.1644
   370,    1.0960,    7.0299,    0.7803,    0.4786,    1.1250,    0.0629,    0.7238,    2.9010,    0.6969,    3.7994,    0.3906,   19.1939
   371,    1.0342,    7.0406,    0.7325,    0.6251,    1.0931,    0.0585,    0.7336,    2.9158,    0.6836,    3.6338,    0.5437,   19.1666
   372,    1.1109,    6.9273,    0.7937,    0.5652,    1.1364,    0.0645,    0.7287,    2.8871,    0.7003,    3.8257,    0.3425,   19.1938
   373,    1.0442,    6.9459,    0.7509,    0.6938,    1.1063,    0.0586,    0.7328,    2.9098,    0.6850,    3.6321,    0.5350,   19.1664
   374,    1.0915,    6.8794,    0.7916,    0.6209,    1.1254,    0.0629,    0.7234,    2.9176,    0.6959,    3.7932,    0.3758,   19.1876
   375,    1.0323,    6.9030,    0.7572,    0.7448,    1.0855,    0.0585,    0.7280,    2.9397,    0.6860,    3.6251,    0.5354,   19.1683
   376,    1.1216,    6.8439,    0.7952,    0.5953,    1.1266,    0.0623,    0.7284,    2.9423,    0.7000,    3.8010,    0.3583,   19.1856
   377,    1.0454,    6.9004,    0.7612,    0.6909,    1.0987,    0.0586,    0.7282,    2.9693,    0.6927,    3.6344,    0.5160,   19.1674
   378,    1.1034,    6.8910,    0.7922,    0.5600,    1.1283,    0.0621,    0.7285,    2.9606,    0.6952,    3.8114,    0.3499,   19.1924
   379,    1.0371,    6.9210,    0.7556,    0.6861,    1.0855,    0.0586,    0.7304,    2.9758,    0.6860,    3.6422,    0.5188,   19.1694
   380,    1.1030,    6.8317,    0.7910,    0.6472,    1.0719,    0.0628,    0.7370,    2.7456,    0.6781,    3.8583,    0.5595,   19.1949
   381,    1.0412,    6.8741,    0.7637,    0.7371,    1.0729,    0.0585,    0.7491,    2.7375,    0.6669,    3.7124,    0.6881,   19.1737
   382,    1.0958,    6.8623,    0.7926,    0.6354,    1.0992,    0.0622,    0.7480,    2.7340,    0.6819,    3.8528,    0.5203,   19.1941
   383,    1.0456,    6.8716,    0.7553,    0.7489,    1.0747,    0.0586,    0.7472,    2.7621,    0.6679,    3.6856,    0.5914,   19.0805
   384,    1.0744,    6.8831,    0.7659,    0.7069,    1.0753,    0.0598,    0.7366,    2.7814,    0.6850,    3.7686,    0.5704,   19.1806
   385,    1.0368,    6.8989,    0.7583,    0.7362,    1.0609,    0.0604,    0.7267,    2.8071,    0.6781,    3.7769,    0.5599,   19.1725
   386,    1.0859,    6.8593,    0.7565,    0.7283,    1.0606,    0.0587,    0.7341,    2.9150,    0.6861,    3.6648,    0.5556,   19.1772
   387,    1.0400,    6.9753,    0.7477,    0.6745,    1.0874,    0.0604,    0.7161,    2.9118,    0.6911,    3.6467,    0.5533,   19.1765
   388,    1.0534,    6.9604,    0.7505,    0.6500,    1.1144,    0.0586,    0.7124,    2.9110,    0.6856,    3.6509,    0.5557,   19.1745
   389,    1.0430,    6.9637,    0.7473,    0.6680,    1.0946,    0.0604,    0.7391,    2.9032,    0.6934,    3.6536,    0.5374,   19.1757
   390,    1.0515,    6.8835,    0.7601,    0.7530,    1.0889,    0.0586,    0.7100,    2.9262,    0.6910,    3.6526,    0.5276,   19.1750
   391,    1.0416,    6.9436,    0.7495,    0.7254,    1.0754,    0.0603,    0.7403,    2.9141,    0.6999,    3.6335,    0.5242,   19.1798
   392,    1.0526,    6.9557,    0.7508,    0.6925,    1.1117,    0.0585,    0.7106,    2.9139,    0.6967,    3.6532,    0.5076,   19.1755
   393,    1.0387,    6.9568,    0.7531,    0.7095,    1.0892,    0.0604,    0.7409,    2.9038,    0.7012,    3.6547,    0.4948,   19.1753
   394,    1.0554,    6.8134,    0.7595,    0.8236,    1.0883,    0.0588,    0.7088,    2.9430,    0.6976,    3.6512,    0.5038,   19.1759
   395,    1.0423,    6.8792,    0.7453,    0.7965,    1.0668,    0.0603,    0.7337,    2.9365,    0.6995,    3.6448,    0.5008,   19.1779
   396,    1.0820,    6.8574,    0.7546,    0.7166,    1.1012,    0.0587,    0.7092,    2.9743,    0.6938,    3.6591,    0.4949,   19.1736
   397,    1.0414,    6.9095,    0.7551,    0.7161,    1.0816,    0.0603,    0.7352,    2.9658,    0.7006,    3.6418,    0.4992,   19.1787
   398,    1.0556,    6.9124,    0.7571,    0.6854,    1.0884,    0.0587,    0.7118,    2.9847,    0.6965,    3.6504,    0.4996,   19.1726
   399,    1.0449,    6.9178,    0.7552,    0.7054,    1.0682,    0.0603,    0.7385,    2.9703,    0.7003,    3.6540,    0.4893,   19.1762
