  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   177,    1.0539,    7.2348,    0.7434,    0.4018,    1.1287,    0.0587,    0.6948,    2.9418,    0.6783,    3.6687,    0.4983,   19.1758
   178,    1.0554,    7.1957,    0.7641,    0.3793,    1.1800,    0.0587,    0.7005,    2.9345,    0.6972,    3.6917,    0.4575,   19.1871
   179,    1.0558,    7.1772,    0.7483,    0.4230,    1.1404,    0.0586,    0.7148,    2.9389,    0.6788,    3.6335,    0.5042,   19.1458
   180,    1.0563,    7.2012,    0.7600,    0.4097,    1.0523,    0.0587,    0.7053,    3.0603,    0.6995,    3.7115,    0.4019,   19.1887
   181,    1.0538,    7.1838,    0.7510,    0.4318,    1.0743,    0.0587,    0.7342,    3.0093,    0.6868,    3.6885,    0.4298,   19.1742
   182,    1.0872,    7.1410,    0.7614,    0.4780,    1.0616,    0.0586,    0.7586,    2.9687,    0.6999,    3.7361,    0.2552,   19.0782
   183,    1.0498,    7.1727,    0.7519,    0.4838,    1.0679,    0.0586,    0.7745,    2.9407,    0.6907,    3.6910,    0.4182,   19.1718
   184,    1.0559,    7.2069,    0.7649,    0.4458,    1.1140,    0.0586,    0.7574,    2.9143,    0.7037,    3.6747,    0.4189,   19.1871
   185,    1.0491,    7.1863,    0.7500,    0.4803,    1.0659,    0.0587,    0.7826,    2.9316,    0.6892,    3.6543,    0.4514,   19.1713
   186,    1.0650,    7.1704,    0.7671,    0.4617,    1.0859,    0.0586,    0.7882,    2.9268,    0.7044,    3.6872,    0.3977,   19.1855
   187,    1.0846,    7.1209,    0.7540,    0.4964,    1.0718,    0.0586,    0.8091,    2.9144,    0.6922,    3.6477,    0.4483,   19.1703
   188,    1.0558,    7.1679,    0.7631,    0.4398,    1.1126,    0.0586,    0.8299,    2.8939,    0.7063,    3.6801,    0.4069,   19.1871
   189,    1.0587,    7.1603,    0.7577,    0.4462,    1.1308,    0.0586,    0.8000,    2.8992,    0.6911,    3.6264,    0.4735,   19.1747
   190,    1.0638,    7.1921,    0.7592,    0.4504,    1.1184,    0.0586,    0.7972,    2.8813,    0.7041,    3.6694,    0.4057,   19.1722
   191,    1.0503,    7.2204,    0.7480,    0.4382,    1.0836,    0.0586,    0.8422,    2.8046,    0.6777,    3.6881,    0.4842,   19.1680
   192,    1.1285,    7.2335,    0.7000,    0.4001,    1.0845,    0.0586,    0.8669,    2.7763,    0.7049,    3.8481,    0.3176,   19.2245
   193,    1.0904,    7.2217,    0.7056,    0.4226,    1.0764,    0.0586,    0.7994,    2.8440,    0.7033,    3.9057,    0.2693,   19.2023
   194,    1.1300,    7.1275,    0.7297,    0.4252,    1.1199,    0.0594,    0.8506,    2.7909,    0.7081,    3.8725,    0.2853,   19.2064
   195,    1.0924,    7.1406,    0.7283,    0.4495,    1.1070,    0.0586,    0.8312,    2.8114,    0.7034,    3.8934,    0.2814,   19.2033
